Net,Size,Precision,Sensitivity,Specificity,F1-Score
ResNet18,256,91,89,89,88.9
ResNet18,256,90.2,89,89,88.9
ResNet18,256,88.6,87.8,87.8,87.7
ResNet50,256,94.1,93.9,93.9,93.9
ResNet50,256,94.1,93.9,93.9,93.9
ResNet50,256,93.9,93.9,93.9,93.9
ResNet18,512,93.1,92.7,92.7,92.7
ResNet18,512,92.1,91.5,91.5,91.4
ResNet18,512,91.7,91.5,91.5,91.5
ResNet50,512,93.9,93.9,93.9,93.9
ResNet50,512,94.0,93.9,93.9,93.9
ResNet50,512,93.9,93.9,93.9,93.9
ResNet18+LA-Net (no CAM),256,93.9,93.9,93.9,93.9
ResNet18+LA-Net (no CAM),256,93.9,93.9,93.9,93.9
ResNet18+LA-Net (no CAM),256,93.9,93.9,93.9,93.9
ResNet50+LA-Net (no CAM),256,94.6,93.9,93.9,93.9
ResNet50+LA-Net (no CAM),256,94.1,93.9,93.9,93.9
ResNet50+LA-Net (no CAM),256,94.6,93.9,93.9,93.9
ResNet18+LA-Net (no CAM),512,93.6,92.7,92.7,92.6
ResNet18+LA-Net (no CAM),512,92.1,91.5,91.5,91.4
ResNet18+LA-Net (no CAM),512,93.1,92.7,92.7,92.7
ResNet50+LA-Net (no CAM),512,92.8,92.7,92.7,92.7
ResNet50+LA-Net (no CAM),512,92.8,92.7,92.7,92.7
ResNet50+LA-Net (no CAM),512,92.1,91.5,91.5,91.4
ResNet18+LA-Net (no SAM),256,93.6,92.7,92.7,92.6
ResNet18+LA-Net (no SAM),256,93.6,92.7,92.7,92.6
ResNet18+LA-Net (no SAM),256,93.1,92.7,92.7,92.7
ResNet50+LA-Net (no SAM),256,94.6,93.9,93.9,93.9
ResNet50+LA-Net (no SAM),256,94.1,93.9,93.9,93.9
ResNet50+LA-Net (no SAM),256,94.6,93.9,93.9,93.9
ResNet18+LA-Net (no SAM),512,92.7,91.5,91.5,91.4
ResNet18+LA-Net (no SAM),512,92.1,91.5,91.5,91.4
ResNet18+LA-Net (no SAM),512,92.1,91.5,91.5,91.4
ResNet50+LA-Net (no SAM),512,94.1,93.9,93.9,93.9
ResNet50+LA-Net (no SAM),512,93.1,92.7,92.7,92.7
ResNet50+LA-Net (no SAM),512,93.1,92.7,92.7,92.7
ResNet18+LA-Net (no MAM),256,94.1,93.9,93.9,93.9
ResNet18+LA-Net (no MAM),256,94.1,93.9,93.9,93.9
ResNet18+LA-Net (no MAM),256,94.6,93.9,93.9,93.9
ResNet50+LA-Net (no MAM),256,91.8,90.2,90.2,90.2
ResNet50+LA-Net (no MAM),256,92.1,91.5,91.5,91.4
ResNet50+LA-Net (no MAM),256,92.1,91.5,91.5,91.4
ResNet18+LA-Net (no MAM),512,94.6,93.9,93.9,93.9
ResNet18+LA-Net (no MAM),512,93.1,92.7,92.7,92.7
ResNet18+LA-Net (no MAM),512,93.1,92.7,92.7,92.7
ResNet50+LA-Net (no MAM),512,94.1,93.9,93.9,93.9
ResNet50+LA-Net (no MAM),512,93.1,92.7,92.7,92.7
ResNet50+LA-Net (no MAM),512,94.6,93.9,93.9,93.9
ResNet18+LA-Net,256,95.6,95.1,95.1,95.1
ResNet18+LA-Net,256,95.2,95.2,95.2,95.1
ResNet18+LA-Net,256,95.6,95.1,95.1,95.1
ResNet50+LA-Net,256,96.4,96.4,96.4,96.4
ResNet50+LA-Net,256,96.4,96.4,96.4,96.4
ResNet50+LA-Net,256,96.6,96.4,96.4,96.4
ResNet18+LA-Net,512,95.6,95.1,95.1,95.1
ResNet18+LA-Net,512,95.2,95.1,95.1,95.1
ResNet18+LA-Net,512,95.2,95.2,95.2,95.1
ResNet50+LA-Net,512,94,93.9,93.9,93.9
ResNet50+LA-Net,512,95.1,95.1,95.1,95.1
ResNet50+LA-Net,512,95.2,95.1,95.1,95.1
