Net,Size,JSI
ResNet18+LA-Net,256,0.659
ResNet18+LA-Net,256,0.671
ResNet18+LA-Net,256,0.634
ResNet18+LA-Net,512,0.748
ResNet18+LA-Net,512,0.733
ResNet18+LA-Net,512,0.735
ResNet50+LA-Net,256,0.65
ResNet50+LA-Net,256,0.677
ResNet50+LA-Net,256,0.655
ResNet50+LA-Net,512,0.68
ResNet50+LA-Net,512,0.678
ResNet50+LA-Net,512,0.691
ResNet18+LA-Net (no CAM),256,0.651
ResNet18+LA-Net (no CAM),256,0.629
ResNet18+LA-Net (no CAM),256,0.653
ResNet18+LA-Net (no CAM),512,0.664
ResNet18+LA-Net (no CAM),512,0.632
ResNet18+LA-Net (no CAM),512,0.641
ResNet50+LA-Net (no CAM),256,0.619
ResNet50+LA-Net (no CAM),256,0.595
ResNet50+LA-Net (no CAM),256,0.626
ResNet50+LA-Net (no CAM),512,0.609
ResNet50+LA-Net (no CAM),512,0.618
ResNet50+LA-Net (no CAM),512,0.623
ResNet18+LA-Net (no SAM),256,0.641
ResNet18+LA-Net (no SAM),256,0.633
ResNet18+LA-Net (no SAM),256,0.654
ResNet18+LA-Net (no SAM),512,0.729
ResNet18+LA-Net (no SAM),512,0.722
ResNet18+LA-Net (no SAM),512,0.728
ResNet50+LA-Net (no SAM),256,0.541
ResNet50+LA-Net (no SAM),256,0.535
ResNet50+LA-Net (no SAM),256,0.527
ResNet50+LA-Net (no SAM),512,0.654
ResNet50+LA-Net (no SAM),512,0.673
ResNet50+LA-Net (no SAM),512,0.671
ResNet18+LA-Net (no MAM),256,0.65
ResNet18+LA-Net (no MAM),256,0.646
ResNet18+LA-Net (no MAM),256,0.655
ResNet18+LA-Net (no MAM),512,0.743
ResNet18+LA-Net (no MAM),512,0.737
ResNet18+LA-Net (no MAM),512,0.739
ResNet50+LA-Net (no MAM),256,0.638
ResNet50+LA-Net (no MAM),256,0.611
ResNet50+LA-Net (no MAM),256,0.632
ResNet50+LA-Net (no MAM),512,0.691
ResNet50+LA-Net (no MAM),512,0.672
ResNet50+LA-Net (no MAM),512,0.694
