Net,DataSize,Size,Precision,Sensitivity,Specificity,F1-Score
ResNet50,0,256,94.1,93.9,93.9,93.9
ResNet50,0,256,94.1,93.9,93.9,93.9
ResNet50,0,256,93.9,93.9,93.9,93.9
ResNet50,0,512,93.9,93.9,93.9,93.9
ResNet50,0,512,94,93.9,93.9,93.9
ResNet50,0,512,93.9,93.9,93.9,93.9
ResNet18,0,256,91,89,89,88.9
ResNet18,0,256,90.2,89,89,88.9
ResNet18,0,256,88.6,87.8,87.8,87.7
ResNet18,0,512,93.1,92.7,92.7,92.7
ResNet18,0,512,92.1,91.5,91.5,91.4
ResNet18,0,512,91.7,91.5,91.5,91.5
ResNet50+LA-Net (0.25),0.25,256,93.1,92.7,92.7,92.7
ResNet50+LA-Net (0.25),0.25,256,94.1,93.9,93.9,93.9
ResNet50+LA-Net (0.25),0.25,256,92.8,92.7,92.7,92.7
ResNet50+LA-Net (0.25),0.25,512,94.1,93.9,93.9,93.9
ResNet50+LA-Net (0.25),0.25,512,93.9,93.9,93.9,93.9
ResNet50+LA-Net (0.25),0.25,512,94.1,93.9,93.9,93.9
ResNet18+LA-Net (0.25),0.25,256,93.6,92.7,92.7,92.6
ResNet18+LA-Net (0.25),0.25,256,93.1,92.7,92.7,92.7
ResNet18+LA-Net (0.25),0.25,256,94.6,93.9,93.9,93.9
ResNet18+LA-Net (0.25),0.25,512,92.7,91.5,91.5,91.4
ResNet18+LA-Net (0.25),0.25,512,93.6,92.7,92.7,92.6
ResNet18+LA-Net (0.25),0.25,512,93.1,92.7,92.7,92.7
ResNet50+LA-Net (0.5),0.5,256,93.6,92.7,92.7,92.6
ResNet50+LA-Net (0.5),0.5,256,94.6,93.9,93.9,93.9
ResNet50+LA-Net (0.5),0.5,256,93.1,92.7,92.7,92.7
ResNet50+LA-Net (0.5),0.5,512,95.6,95.1,95.1,95.1
ResNet50+LA-Net (0.5),0.5,512,95.2,95.1,95.1,95.1
ResNet50+LA-Net (0.5),0.5,512,95.6,95.1,95.1,95.1
ResNet18+LA-Net (0.5),0.5,256,96.6,96.3,96.3,96.3
ResNet18+LA-Net (0.5),0.5,256,95.1,95.1,95.1,95.1
ResNet18+LA-Net (0.5),0.5,256,95.1,95.1,95.1,95.1
ResNet18+LA-Net (0.5),0.5,512,95.6,95.1,95.1,95.1
ResNet18+LA-Net (0.5),0.5,512,94.1,93.9,93.9,94.1
ResNet18+LA-Net (0.5),0.5,512,94.6,93.9,93.9,93.9
ResNet50+LA-Net (0.75),0.75,256,95.1,95.1,95.1,95.1
ResNet50+LA-Net (0.75),0.75,256,95.1,95.1,95.1,95.1
ResNet50+LA-Net (0.75),0.75,256,95.2,95.1,95.1,95.1
ResNet50+LA-Net (0.75),0.75,512,95.6,95.1,95.1,95.1
ResNet50+LA-Net (0.75),0.75,512,95.2,95.1,95.1,95.1
ResNet50+LA-Net (0.75),0.75,512,96.6,96.3,96.3,96.3
ResNet18+LA-Net (0.75),0.75,256,95.6,95.1,95.1,95.1
ResNet18+LA-Net (0.75),0.75,256,95.1,95.1,95.1,95.1
ResNet18+LA-Net (0.75),0.75,256,96.6,96.3,96.3,96.3
ResNet18+LA-Net (0.75),0.75,512,94.6,93.9,93.9,93.9
ResNet18+LA-Net (0.75),0.75,512,95.6,95.1,95.1,95.1
ResNet18+LA-Net (0.75),0.75,512,96.6,96.3,96.3,96.3
ResNet50+LA-Net (1),1,256,96.4,96.4,96.4,96.4
ResNet50+LA-Net (1),1,256,96.4,96.4,96.4,96.4
ResNet50+LA-Net (1),1,256,96.6,96.4,96.4,96.4
ResNet50+LA-Net (1),1,512,94,93.9,93.9,93.9
ResNet50+LA-Net (1),1,512,95.1,95.1,95.1,95.1
ResNet50+LA-Net (1),1,512,95.2,95.1,95.1,95.1
ResNet18+LA-Net (1),1,256,95.6,95.1,95.1,95.1
ResNet18+LA-Net (1),1,256,95.2,95.2,95.2,95.1
ResNet18+LA-Net (1),1,256,95.6,95.1,95.1,95.1
ResNet18+LA-Net (1),1,512,95.6,95.1,95.1,95.1
ResNet18+LA-Net (1),1,512,95.2,95.1,95.1,95.1
ResNet18+LA-Net (1),1,512,95.2,95.2,95.2,95.1
